tuple_number	diff_direction	requirement_id	object_kind	database_name	schema_name	object_identity	owner_identity	grantee_identity	privilege	grantable	hierarchy_inheritance_flag	object_acl_type_code	classification	first_authorizing_migration_or_contract	055_effect	later_reauthorizing_migration_or_contract	checked_in_evidence	rationale	post_h1_composition_disposition
55	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.logical_operation_canonical	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
56	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.logical_operation_contract_version	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
57	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.logical_operation_hash	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
58	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.materialization_contract_version	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
59	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.materialization_identity_canonical	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
60	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.materialization_identity_hash	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
61	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.materialization_member_count	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
62	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.operational_campaign_id	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
63	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.ordered_scope_digest	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
64	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.prerequisite_policy	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
65	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.provenance_identity_canonical	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
66	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.provenance_identity_hash	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
67	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.reason	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
68	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.recommendation_campaign_materialization_id	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
69	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.request_contract_version	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
70	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.request_identity_canonical	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
71	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.request_identity_hash	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
72	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.request_state	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
73	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.reservation_id	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
74	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.reservation_identity_canonical	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
75	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.reservation_identity_hash	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
76	actual_minus_expected	H1-ACL-REQUEST-COLUMNS	column	LSTM	public	public.campaign_operations_operational_request.state_version	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	INSERT	f	f		A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
77	actual_minus_expected	H1-ACL-UNEXPECTED-OBJECT	function	LSTM	public	public.campaign_operations_production_dispatch_authorized_v3(bigint,integer,text,timestamp with time zone,text,text,text)	campaign_operations_h1_boundary_authority	campaign_operations_h1_boundary_authority	EXECUTE	f	f	f	B1	059	Not in the frozen 055 external exact manifest; 059 creates/seals the direct-SQL boundary tuple.	059	Database/migrations/059_campaign_operations_direct_sql_readiness_boundary.sql:194-252; Database/manifests/059_campaign_operations_direct_sql_boundary_explicit_acl.tsv	Exact later direct-SQL boundary authority; accepted only as the enumerated tuple.	ACCEPT
78	actual_minus_expected	H1-ACL-UNEXPECTED-OBJECT	function	LSTM	public	public.campaign_operations_production_dispatch_authorized_v3(bigint,integer,text,timestamp with time zone,text,text,text)	campaign_operations_h1_boundary_authority	campaign_operations_production_dispatch_service	EXECUTE	f	f	f	B1	059	Not in the frozen 055 external exact manifest; 059 creates/seals the direct-SQL boundary tuple.	059	Database/migrations/059_campaign_operations_direct_sql_readiness_boundary.sql:194-252; Database/manifests/059_campaign_operations_direct_sql_boundary_explicit_acl.tsv	Exact later direct-SQL boundary authority; accepted only as the enumerated tuple.	ACCEPT
79	actual_minus_expected	H1-ACL-UNEXPECTED-OBJECT	function	LSTM	public	public.campaign_operations_production_dispatch_readiness_gate_v1(text)	campaign_operations_h1_boundary_authority	campaign_operations_h1_boundary_authority	EXECUTE	f	f	f	B1	059	Not in the frozen 055 external exact manifest; 059 creates/seals the direct-SQL boundary tuple.	059	Database/migrations/059_campaign_operations_direct_sql_readiness_boundary.sql:194-252; Database/manifests/059_campaign_operations_direct_sql_boundary_explicit_acl.tsv	Exact later direct-SQL boundary authority; accepted only as the enumerated tuple.	ACCEPT
80	actual_minus_expected	H1-ACL-UNEXPECTED-OBJECT	function	LSTM	public	public.campaign_operations_production_readiness_snapshot_v1()	campaign_operations_h1_boundary_authority	campaign_operations_h1_boundary_authority	EXECUTE	f	f	f	B1	056	Not in the frozen 055 external exact manifest; 056 adds this exact H2 contract.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:117-217; Database/manifests/056_campaign_operations_h2_explicit_acl.tsv	Exact later H2 manifest authority; accepted only as the checked-in tuple.	ACCEPT
81	actual_minus_expected	H1-ACL-UNEXPECTED-OBJECT	function	LSTM	public	public.campaign_operations_production_readiness_snapshot_v1()	campaign_operations_h1_boundary_authority	campaign_operations_production_reader	EXECUTE	f	f	f	B1	056	Not in the frozen 055 external exact manifest; 056 adds this exact H2 contract.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:117-217; Database/manifests/056_campaign_operations_h2_explicit_acl.tsv	Exact later H2 manifest authority; accepted only as the checked-in tuple.	ACCEPT
82	actual_minus_expected	H1-ACL-SCHEDULER-EVIDENCE	function	LSTM	public	public.campaign_operations_scheduler_protocol_evidence_lock_v1()	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	EXECUTE	f	f	f	B1	056	Not in the frozen 055 external exact manifest; 056 adds this exact H2 contract.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:117-217; Database/manifests/056_campaign_operations_h2_explicit_acl.tsv	Exact later H2 manifest authority; accepted only as the checked-in tuple.	ACCEPT
83	actual_minus_expected	H1-ACL-LOCK-1	function	LSTM	public	public.lock_campaign_operations_authorization_head(bigint,text)	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	EXECUTE	f	f	f	B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
84	actual_minus_expected	H1-ACL-LOCK-2	function	LSTM	public	public.lock_campaign_operations_budget_head(bigint)	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	EXECUTE	f	f	f	B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
85	actual_minus_expected	H1-ACL-LOCK-3	function	LSTM	public	public.lock_campaign_operations_campaign(bigint)	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	EXECUTE	f	f	f	B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
86	actual_minus_expected	H1-ACL-LOCK-5	function	LSTM	public	public.lock_campaign_operations_request(bigint)	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	EXECUTE	f	f	f	B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
87	actual_minus_expected	H1-ACL-LOCK-4	function	LSTM	public	public.lock_campaign_operations_reservation(bigint)	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	EXECUTE	f	f	f	B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
88	actual_minus_expected	H1-ACL-FIXED-TRANSITIONS	function	LSTM	public	public.record_campaign_operations_production_disable_v1(text,bigint,text,integer,text,text)	campaign_operations_h1_boundary_authority	campaign_operations_production_disabler	EXECUTE	f	f	f	B1	056	Not in the frozen 055 external exact manifest; 056 adds this exact H2 contract.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:117-217; Database/manifests/056_campaign_operations_h2_explicit_acl.tsv	Exact later H2 manifest authority; accepted only as the checked-in tuple.	ACCEPT
89	actual_minus_expected	H1-ACL-FIXED-TRANSITIONS	function	LSTM	public	public.record_campaign_operations_production_enable_v1(text,integer,text,text,text,text,text,text,text,text,text)	campaign_operations_h1_boundary_authority	campaign_operations_production_enabler	EXECUTE	f	f	f	B1	056	Not in the frozen 055 external exact manifest; 056 adds this exact H2 contract.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:117-217; Database/manifests/056_campaign_operations_h2_explicit_acl.tsv	Exact later H2 manifest authority; accepted only as the checked-in tuple.	ACCEPT
90	actual_minus_expected	H1-ACL-SCHEMA-PUBLIC	schema	LSTM	public	public	pg_database_owner	campaign_operations_authorizer	USAGE	f	f	n	A	045	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/045_campaign_operations_foundation.sql:602-708	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
91	actual_minus_expected	H1-ACL-SCHEMA-PUBLIC	schema	LSTM	public	public	pg_database_owner	campaign_operations_budget_administrator	USAGE	f	f	n	A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
92	actual_minus_expected	H1-ACL-SCHEMA-PUBLIC	schema	LSTM	public	public	pg_database_owner	campaign_operations_campaign_creator	USAGE	f	f	n	A	045	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/045_campaign_operations_foundation.sql:602-708	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
93	actual_minus_expected	H1-ACL-SCHEMA-PUBLIC	schema	LSTM	public	public	pg_database_owner	campaign_operations_dispatcher	USAGE	f	f	n	A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
94	actual_minus_expected	H1-ACL-SCHEMA-PUBLIC	schema	LSTM	public	public	pg_database_owner	campaign_operations_owner	USAGE	f	f	n	A	045	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/045_campaign_operations_foundation.sql:602-708	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
95	actual_minus_expected	H1-ACL-SCHEMA-PUBLIC	schema	LSTM	public	public	pg_database_owner	campaign_operations_phase5_transactional	USAGE	f	f	n	A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
96	actual_minus_expected	H1-ACL-SCHEMA-PUBLIC	schema	LSTM	public	public	pg_database_owner	campaign_operations_request_acceptor	USAGE	f	f	n	A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
97	actual_minus_expected	H1-ACL-SCHEMA-PUBLIC	schema	LSTM	public	public	pg_database_owner	pqxx	USAGE	f	f	n	C	NONE	055 freezes a non-pqxx H1 ACL surface; no checked-in 045-064 grant authorizes this tuple.	NONE	Database/migrations/055_campaign_operations_production_admission_foundation.sql:4204-4213,4228-4251,4564-4573,4619-4621	Current pqxx ACL is production drift, not authority; it remains fail-closed.	REJECT
98	actual_minus_expected	H1-ACL-SEQUENCES	sequence	LSTM	public	public.campaign_operations_dispatch__dispatch_audit_reference_even_seq	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	USAGE	f	f	S	A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
99	actual_minus_expected	H1-ACL-SEQUENCES	sequence	LSTM	public	public.campaign_operations_dispatch__dispatch_audit_reference_even_seq	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	USAGE	f	f	S	A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
100	actual_minus_expected	H1-ACL-SEQUENCES	sequence	LSTM	public	public.campaign_operations_dispatch__dispatch_audit_reference_even_seq	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	USAGE	f	f	S	B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
101	actual_minus_expected	H1-ACL-SEQUENCES	sequence	LSTM	public	public.campaign_operations_dispatch__dispatch_audit_reference_even_seq	campaign_operations_h1_boundary_authority	pqxx	SELECT	f	f	S	C	NONE	055 freezes a non-pqxx H1 ACL surface; no checked-in 045-064 grant authorizes this tuple.	NONE	Database/migrations/055_campaign_operations_production_admission_foundation.sql:4204-4213,4228-4251,4564-4573,4619-4621	Current pqxx ACL is production drift, not authority; it remains fail-closed.	REJECT
102	actual_minus_expected	H1-ACL-SEQUENCES	sequence	LSTM	public	public.campaign_operations_dispatch__dispatch_audit_reference_even_seq	campaign_operations_h1_boundary_authority	pqxx	USAGE	f	f	S	C	NONE	055 freezes a non-pqxx H1 ACL surface; no checked-in 045-064 grant authorizes this tuple.	NONE	Database/migrations/055_campaign_operations_production_admission_foundation.sql:4204-4213,4228-4251,4564-4573,4619-4621	Current pqxx ACL is production drift, not authority; it remains fail-closed.	REJECT
103	actual_minus_expected	H1-ACL-SEQUENCES	sequence	LSTM	public	public.campaign_operations_dispatch_attempt_dispatch_attempt_id_seq	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	USAGE	f	f	S	A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
104	actual_minus_expected	H1-ACL-SEQUENCES	sequence	LSTM	public	public.campaign_operations_dispatch_attempt_dispatch_attempt_id_seq	campaign_operations_h1_boundary_authority	pqxx	SELECT	f	f	S	C	NONE	055 freezes a non-pqxx H1 ACL surface; no checked-in 045-064 grant authorizes this tuple.	NONE	Database/migrations/055_campaign_operations_production_admission_foundation.sql:4204-4213,4228-4251,4564-4573,4619-4621	Current pqxx ACL is production drift, not authority; it remains fail-closed.	REJECT
105	actual_minus_expected	H1-ACL-SEQUENCES	sequence	LSTM	public	public.campaign_operations_dispatch_attempt_dispatch_attempt_id_seq	campaign_operations_h1_boundary_authority	pqxx	USAGE	f	f	S	C	NONE	055 freezes a non-pqxx H1 ACL surface; no checked-in 045-064 grant authorizes this tuple.	NONE	Database/migrations/055_campaign_operations_production_admission_foundation.sql:4204-4213,4228-4251,4564-4573,4619-4621	Current pqxx ACL is production drift, not authority; it remains fail-closed.	REJECT
106	actual_minus_expected	H1-ACL-SEQUENCES	sequence	LSTM	public	public.campaign_operations_operational_requ_operational_request_id_seq	campaign_operations_h1_boundary_authority	campaign_operations_request_acceptor	USAGE	f	f	S	A	047	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/047_campaign_operations_budget_request_acceptance.sql:1489-1629	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
107	actual_minus_expected	H1-ACL-SEQUENCES	sequence	LSTM	public	public.campaign_operations_operational_requ_operational_request_id_seq	campaign_operations_h1_boundary_authority	pqxx	SELECT	f	f	S	C	NONE	055 freezes a non-pqxx H1 ACL surface; no checked-in 045-064 grant authorizes this tuple.	NONE	Database/migrations/055_campaign_operations_production_admission_foundation.sql:4204-4213,4228-4251,4564-4573,4619-4621	Current pqxx ACL is production drift, not authority; it remains fail-closed.	REJECT
108	actual_minus_expected	H1-ACL-SEQUENCES	sequence	LSTM	public	public.campaign_operations_operational_requ_operational_request_id_seq	campaign_operations_h1_boundary_authority	pqxx	USAGE	f	f	S	C	NONE	055 freezes a non-pqxx H1 ACL surface; no checked-in 045-064 grant authorizes this tuple.	NONE	Database/migrations/055_campaign_operations_production_admission_foundation.sql:4204-4213,4228-4251,4564-4573,4619-4621	Current pqxx ACL is production drift, not authority; it remains fail-closed.	REJECT
109	actual_minus_expected	H1-ACL-ATTEMPT	table	LSTM	public	public.campaign_operations_dispatch_attempt	campaign_operations_h1_boundary_authority	campaign_operations_dispatcher	SELECT	f	f	r	A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
110	actual_minus_expected	H1-ACL-ATTEMPT	table	LSTM	public	public.campaign_operations_dispatch_attempt	campaign_operations_h1_boundary_authority	campaign_operations_phase5_transactional	SELECT	f	f	r	A	048	055 transfers protected-relation ownership at 055:4309-4314 but does not revoke this checked-in predecessor grant.	NONE	Database/migrations/048_campaign_operations_durable_dispatch_handoff.sql:1107-1299,1345-1346	Checked-in 045-054 predecessor ACL survives the ownership transfer and is omitted only by the frozen external H1 exact-state comparison.	ACCEPT
111	actual_minus_expected	H1-ACL-ATTEMPT	table	LSTM	public	public.campaign_operations_dispatch_attempt	campaign_operations_h1_boundary_authority	campaign_operations_production_phase5_transactional	SELECT	f	f	r	B1	056	Not in the frozen 055 external exact manifest; 056 carries forward this exact Phase-E surface.	056	Database/migrations/056_campaign_operations_h2_privilege_deployment_contract.sql:219-332	Exact later H2 Phase-E authority; accepted only as the enumerated tuple.	ACCEPT
